id,priority,category,title,layer,issuer,rule_no,publish_date,effective_date,current_status,is_core,source_type,business_tags,source_url,local_path,text_path,file_type,downloaded_count,notes,errors
025F,P1,05A_税法与公募基金增值税规则,财政部 税务总局关于国债等债券利息收入增值税政策的公告,税收规范性文件,财政部、税务总局,财政部 税务总局公告2025年第4号,2025-07-31,2025-08-08,现行有效,否,税务总局法规库正文页,债券利息收入;国债;地方政府债;金融债;税务划断,https://fgk.chinatax.gov.cn/zcfgk/c102416/c5242161/content.html,01_法规原文库\05A_税法与公募基金增值税规则\025F_财政部税务总局关于国债等债券利息收入增值税政策的公告\025F_财政部税务总局关于国债等债券利息收入增值税政策的公告_01_税务总局法规库正文页.html; 01_法规原文库\05A_税法与公募基金增值税规则\025F_财政部税务总局关于国债等债券利息收入增值税政策的公告\025F_财政部税务总局关于国债等债券利息收入增值税政策的公告_附件01_【下载】.html,02_文本抽取库\05A_税法与公募基金增值税规则\025F_财政部税务总局关于国债等债券利息收入增值税政策的公告\025F_财政部税务总局关于国债等债券利息收入增值税政策的公告_01_税务总局法规库正文页.txt; 02_文本抽取库\05A_税法与公募基金增值税规则\025F_财政部税务总局关于国债等债券利息收入增值税政策的公告\025F_财政部税务总局关于国债等债券利息收入增值税政策的公告_附件01_【下载】.txt,html,2,续跑时复用已下载文件,
025G1,P2,05A_税法与公募基金增值税规则,国家税务总局关于起征点标准等增值税征管事项的公告,税收规范性文件,国家税务总局,国家税务总局公告2026年第4号,2026-01-30,,现行有效,否,税务总局法规库正文页,征管配套;债券利息;月销售额口径,https://fgk.chinatax.gov.cn/zcfgk/c100012/c5247426/content.html,01_法规原文库\05A_税法与公募基金增值税规则\025G1_国家税务总局关于起征点标准等增值税征管事项的公告\025G1_国家税务总局关于起征点标准等增值税征管事项的公告_01_税务总局法规库正文页.html; 01_法规原文库\05A_税法与公募基金增值税规则\025G1_国家税务总局关于起征点标准等增值税征管事项的公告\025G1_国家税务总局关于起征点标准等增值税征管事项的公告_附件01_【下载】.html,02_文本抽取库\05A_税法与公募基金增值税规则\025G1_国家税务总局关于起征点标准等增值税征管事项的公告\025G1_国家税务总局关于起征点标准等增值税征管事项的公告_01_税务总局法规库正文页.txt; 02_文本抽取库\05A_税法与公募基金增值税规则\025G1_国家税务总局关于起征点标准等增值税征管事项的公告\025G1_国家税务总局关于起征点标准等增值税征管事项的公告_附件01_【下载】.txt,html,2,续跑时复用已下载文件,
025G2,P2,05A_税法与公募基金增值税规则,财政部 税务总局关于延续实施境外机构投资境内债券市场企业所得税、增值税政策的公告,税收规范性文件,财政部、税务总局,财政部 税务总局公告2026年第5号,2026-01-13,2026-01-01,现行有效,否,税务系统官方转载,QDII;跨境债券;境外机构;增值税优惠;债券利息收入,https://guangdong.chinatax.gov.cn/gdsw/zjfg/2026-01/16/content_fd12a26e977d4c5bb2bdc9066ae5e4a2.shtml,01_法规原文库\05A_税法与公募基金增值税规则\025G2_财政部税务总局关于延续实施境外机构投资境内债券市场企业所得税、增值税政策的公告\025G2_财政部税务总局关于延续实施境外机构投资境内债券市场企业所得税、增值税政策的公告_01_税务系统官方转载.html,02_文本抽取库\05A_税法与公募基金增值税规则\025G2_财政部税务总局关于延续实施境外机构投资境内债券市场企业所得税、增值税政策的公告\025G2_财政部税务总局关于延续实施境外机构投资境内债券市场企业所得税、增值税政策的公告_01_税务系统官方转载.txt,html,1,清单原广东税务线索已404，本轮改用广东税务系统官方转载页；后续可继续核对中央法规库稳定页; 续跑时复用已下载文件,
025,P0,05_银行业监管与行业自律,商业银行托管业务监督管理办法（试行）,部门规章,国家金融监督管理总局,,2025-03-21,,现行有效,是,规则页;发布说明,商业银行托管;机构监管;业务范围;内控;监督管理,https://www.nfra.gov.cn/cn/view/pages/rulesDetail.html?docId=1237183; https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1237329&itemId=917,01_法规原文库\05_银行业监管与行业自律\025_商业银行托管业务监督管理办法（试行）\025_商业银行托管业务监督管理办法（试行）_01_规则页.html; 01_法规原文库\05_银行业监管与行业自律\025_商业银行托管业务监督管理办法（试行）\025_商业银行托管业务监督管理办法（试行）_02_发布说明.html,02_文本抽取库\05_银行业监管与行业自律\025_商业银行托管业务监督管理办法（试行）\025_商业银行托管业务监督管理办法（试行）_01_规则页.txt; 02_文本抽取库\05_银行业监管与行业自律\025_商业银行托管业务监督管理办法（试行）\025_商业银行托管业务监督管理办法（试行）_02_发布说明.txt,html,2,续跑时复用已下载文件,
026,P1,05_银行业监管与行业自律,商业银行资产托管业务指引,行业自律规则,中国银行业协会,,2019-03-18,2019-03-18,现行有效,是,协会正文页,托管职责;资产保管;账户;估值核算;清算;投资监督,https://www.china-cba.net/Index/showw/catid/130/id/19843,01_法规原文库\05_银行业监管与行业自律\026_商业银行资产托管业务指引\026_商业银行资产托管业务指引_01_协会正文页.html,02_文本抽取库\05_银行业监管与行业自律\026_商业银行资产托管业务指引\026_商业银行资产托管业务指引_01_协会正文页.txt,html,1,续跑时复用已下载文件,
027,P2,05_银行业监管与行业自律,商业银行内部控制、信息科技、外包管理、数据治理等托管配套规则,配套规则组,金融监管总局、人民银行、网信办等,,,,已扩展,否,规则组索引,内控;信息科技;外包;数据治理;网络安全,,,,,0,已拆分为027A-027E，覆盖内控、信息科技、数据治理、信息科技外包、操作风险等托管配套规则。,
028,P1,06_AMAC托管运营估值清算细则,中国证券投资基金业协会——基金托管及服务栏目总入口,栏目入口,中国证券投资基金业协会,,,,失效入口,否,失效栏目页,AMAC托管;估值;清算;栏目入口,,,,,0,原AMAC基金托管及服务栏目入口返回404；已改由具体规则条目和数据报送服务指南承接，不作为待解决事项。,
029,P1,06_AMAC托管运营估值清算细则,基金托管及服务——政策法规入口,栏目入口,中国证券投资基金业协会,,,,失效入口,否,失效栏目页,AMAC政策法规;托管服务,,,,,0,原AMAC政策法规栏目入口访问不稳定；已改由具体AMAC规则正文页承接，不作为待解决事项。,
030,P1,06_AMAC托管运营估值清算细则,证券投资基金港股通投资资金清算和会计核算估值业务指引（试行）,AMAC操作细则,中国证券投资基金业协会,中基协发〔2015〕17号,2015-11-11,2015-11-11,现行有效,是,AMAC法规库页面;附件PDF,港股通;资金清算;会计核算;估值,https://fg.amac.org.cn/governmentrules_3854/zcgz_zlgz/jjtgjfw/zlgz_jjfw_gzyw/202408/t20240828_25950.html; https://www.amac.org.cn/xwfb/hydt/202106/P020231126371218718148.pdf,01_法规原文库\06_AMAC托管运营估值清算细则\030_证券投资基金港股通投资资金清算和会计核算估值业务指引（试行）\030_证券投资基金港股通投资资金清算和会计核算估值业务指引（试行）_01_附件PDF.pdf,02_文本抽取库\06_AMAC托管运营估值清算细则\030_证券投资基金港股通投资资金清算和会计核算估值业务指引（试行）\030_证券投资基金港股通投资资金清算和会计核算估值业务指引（试行）_01_附件PDF.txt,pdf,1,待入库同名PDF与既有规则重复，未新建编号；保留同一规则条目并补齐文号、发布日期和AMAC法规库页面线索。; 续跑时复用已下载文件,
031,P1,06_AMAC托管运营估值清算细则,证券投资基金参与转融通证券出借业务会计核算和估值业务指引（试行）,AMAC操作细则,中国证券投资基金业协会,中基协发〔2019〕5号,2019-06-21,2019-06-21,现行有效,是,通知页;附件PDF,转融通;证券出借;会计核算;估值,https://www.amac.org.cn/xwfb/xhyw/201912/t20191231_15878.html; https://www.amac.org.cn/xwfb/xhyw/201912/P020231126355578407513.pdf,01_法规原文库\06_AMAC托管运营估值清算细则\031_证券投资基金参与转融通证券出借业务会计核算和估值业务指引（试行）\031_证券投资基金参与转融通证券出借业务会计核算和估值业务指引（试行）_01_通知页.html; 01_法规原文库\06_AMAC托管运营估值清算细则\031_证券投资基金参与转融通证券出借业务会计核算和估值业务指引（试行）\031_证券投资基金参与转融通证券出借业务会计核算和估值业务指引（试行）_02_附件PDF.pdf,02_文本抽取库\06_AMAC托管运营估值清算细则\031_证券投资基金参与转融通证券出借业务会计核算和估值业务指引（试行）\031_证券投资基金参与转融通证券出借业务会计核算和估值业务指引（试行）_01_通知页.txt; 02_文本抽取库\06_AMAC托管运营估值清算细则\031_证券投资基金参与转融通证券出借业务会计核算和估值业务指引（试行）\031_证券投资基金参与转融通证券出借业务会计核算和估值业务指引（试行）_02_附件PDF.txt,html; pdf,2,待入库PDF与既有AMAC附件为同一规则正文，差异主要为附件编号页眉，未重复入库。; 续跑时复用已下载文件,
032,P1,06_AMAC托管运营估值清算细则,证券投资基金投资信用衍生品估值指引（试行）,AMAC估值细则,中国证券投资基金业协会,中基协发〔2019〕1号,2019-01-18,2019-01-18,现行有效,是,通知页;附件PDF,信用衍生品;估值;会计处理,https://www.amac.org.cn/businessservices_2025/trusteeshipbusiness_2912/tgfwgzglgj/tgfwtzyj/202105/t20210531_11788.html; https://www.amac.org.cn/xwfb/tzgg/201901/P020231126367143196433.pdf,01_法规原文库\06_AMAC托管运营估值清算细则\032_证券投资基金投资信用衍生品估值指引（试行）\032_证券投资基金投资信用衍生品估值指引（试行）_02_附件PDF.pdf,02_文本抽取库\06_AMAC托管运营估值清算细则\032_证券投资基金投资信用衍生品估值指引（试行）\032_证券投资基金投资信用衍生品估值指引（试行）_02_附件PDF.txt,pdf,1,续跑时复用已下载文件,
033,P1,06_AMAC托管运营估值清算细则,证券投资基金参与同业存单会计核算和估值业务指引（试行）,AMAC会计核算与估值细则,中国证券投资基金业协会,,,,现行有效,是,附件PDF,同业存单;会计核算;估值;定期报告列示,https://www.amac.org.cn/fwdt/wyb/jgdjhcpbeian/smjjglrdjhcpba/xgzc/202001/P020231126372106723208.pdf,01_法规原文库\06_AMAC托管运营估值清算细则\033_证券投资基金参与同业存单会计核算和估值业务指引（试行）\033_证券投资基金参与同业存单会计核算和估值业务指引（试行）_01_附件PDF.pdf,02_文本抽取库\06_AMAC托管运营估值清算细则\033_证券投资基金参与同业存单会计核算和估值业务指引（试行）\033_证券投资基金参与同业存单会计核算和估值业务指引（试行）_01_附件PDF.txt,pdf,1,续跑时复用已下载文件,
034,P1,06_AMAC托管运营估值清算细则,证券投资基金投资流通受限股票估值指引（试行）,AMAC估值细则,中国证券投资基金业协会,中基协发〔2017〕6号,2017-09-04,2017-09-04,现行有效,是,通知页;附件PDF,流通受限股票;估值;托管估值复核,https://fg.amac.org.cn/governmentrules_3854/zcgz_zlgz/jjtgjfw/zlgz_jjfw_gzyw/202408/t20240828_25952.html; https://www.amac.org.cn/xwfb/tzgg/201709/P020231126367070343127.pdf,01_法规原文库\06_AMAC托管运营估值清算细则\034_证券投资基金投资流通受限股票估值指引（试行）\034_证券投资基金投资流通受限股票估值指引（试行）_02_附件PDF.pdf,02_文本抽取库\06_AMAC托管运营估值清算细则\034_证券投资基金投资流通受限股票估值指引（试行）\034_证券投资基金投资流通受限股票估值指引（试行）_02_附件PDF.txt,pdf,1,续跑时复用已下载文件,
035,P1,06_AMAC托管运营估值清算细则,证券投资基金侧袋机制操作细则（试行）,AMAC操作细则,中国证券投资基金业协会,中基协发〔2020〕10号,2020-10-30,2020-10-30,现行有效,是,通知页;附件PDF;起草说明PDF,侧袋机制;份额处理;估值;运营落地,https://www.amac.org.cn/xwfb/xhyw/202010/t20201030_15950.html; https://www.amac.org.cn/xwfb/xhyw/202010/P020231126355689254901.pdf; https://www.amac.org.cn/xwfb/xhyw/202010/P020231126355690501012.pdf,01_法规原文库\06_AMAC托管运营估值清算细则\035_证券投资基金侧袋机制操作细则（试行）\035_证券投资基金侧袋机制操作细则（试行）_01_通知页.html; 01_法规原文库\06_AMAC托管运营估值清算细则\035_证券投资基金侧袋机制操作细则（试行）\035_证券投资基金侧袋机制操作细则（试行）_02_附件PDF.pdf; 01_法规原文库\06_AMAC托管运营估值清算细则\035_证券投资基金侧袋机制操作细则（试行）\035_证券投资基金侧袋机制操作细则（试行）_03_起草说明PDF.pdf,02_文本抽取库\06_AMAC托管运营估值清算细则\035_证券投资基金侧袋机制操作细则（试行）\035_证券投资基金侧袋机制操作细则（试行）_01_通知页.txt; 02_文本抽取库\06_AMAC托管运营估值清算细则\035_证券投资基金侧袋机制操作细则（试行）\035_证券投资基金侧袋机制操作细则（试行）_02_附件PDF.txt; 02_文本抽取库\06_AMAC托管运营估值清算细则\035_证券投资基金侧袋机制操作细则（试行）\035_证券投资基金侧袋机制操作细则（试行）_03_起草说明PDF.txt,html; pdf,3,起草说明仅作辅助资料，不作为现行规则正文；待入库主PDF与既有附件完全一致，未重复保存。; 续跑时复用已下载文件,
036,P1,06_AMAC托管运营估值清算细则,公开募集证券投资基金会计核算业务指引,AMAC会计核算规则,中国证券投资基金业协会,,,,未发布正式稿,否,征求意见稿线索,公募基金会计核算;账务处理,https://www.amac.org.cn/xwfb/tzgg/202011/t20201111_18356.html,01_法规原文库\06_AMAC托管运营估值清算细则\036_公开募集证券投资基金会计核算业务指引\036_公开募集证券投资基金会计核算业务指引_01_征求意见通知页.html,02_文本抽取库\06_AMAC托管运营估值清算细则\036_公开募集证券投资基金会计核算业务指引\036_公开募集证券投资基金会计核算业务指引_01_征求意见通知页.txt,html,1,仅定位到AMAC 2020年征求意见通知及附件，未确认正式实施版本；不纳入现行正式依据，后续月度巡检继续观察。; 续跑时复用已下载文件,
037,P2,06_AMAC托管运营估值清算细则,基金估值标准体系相关规则,规则组,中国证券投资基金业协会,,,,已扩展,否,规则组索引,基金估值标准;第三方估值;债券估值,,,,,0,已拆分并补入037A等估值规则；原栏目入口失效，不再作为待解决事项。,
038,P3,06_AMAC托管运营估值清算细则,公募基金行业合规管理手册,行业手册,中国证券投资基金业协会,,2025-01-22,,辅助资料,否,附件PDF,合规管理;托管运营;辅助资料,https://www.amac.org.cn/hyyj/hjtj/202005/P020250122588393150509.pdf,01_法规原文库\06_AMAC托管运营估值清算细则\038_公募基金行业合规管理手册\038_公募基金行业合规管理手册_01_附件PDF.pdf,02_文本抽取库\06_AMAC托管运营估值清算细则\038_公募基金行业合规管理手册\038_公募基金行业合规管理手册_01_附件PDF.txt,pdf,1,辅助资料，不作为强制规则; 续跑时复用已下载文件,
039,P3,06_AMAC托管运营估值清算细则,证券投资基金会计核算操作实务手册,行业手册,中国证券投资基金业协会,,2024-05-30,,辅助资料,否,附件PDF,会计核算;操作实务;辅助资料,https://www.amac.org.cn/hyyj/hjtj/202405/P020240530424712416888.pdf,01_法规原文库\06_AMAC托管运营估值清算细则\039_证券投资基金会计核算操作实务手册\039_证券投资基金会计核算操作实务手册_01_附件PDF.pdf,02_文本抽取库\06_AMAC托管运营估值清算细则\039_证券投资基金会计核算操作实务手册\039_证券投资基金会计核算操作实务手册_01_附件PDF.txt,pdf,1,手册标明仅供参考，不作为必然依据; 续跑时复用已下载文件,
040,P2,07_数据报送与人员管理,AMBERS / 公募基金业务 / 托管数据报送相关规则,业务报送规则组,中国证券投资基金业协会,,,,辅助索引,否,服务指南页,AMBERS;数据报送;报送模板,https://www.amac.org.cn/fwdt/wyb/sjbs/gmjjsjbs/fwzn/,01_法规原文库\07_数据报送与人员管理\040_AMBERS_公募基金业务_托管数据报送相关规则\040_AMBERS_公募基金业务_托管数据报送相关规则_01_栏目页.html,02_文本抽取库\07_数据报送与人员管理\040_AMBERS_公募基金业务_托管数据报送相关规则\040_AMBERS_公募基金业务_托管数据报送相关规则_01_栏目页.txt,html,1,已更新为AMAC公募基金数据报送服务指南入口；该页是报送服务指南，不作为强制性法规正文。; 续跑时复用已下载文件,
041,P0,07_数据报送与人员管理,基金从业人员管理规则,行业自律规则,中国证券投资基金业协会,,2023-11-24,,现行有效,是,发布页;附件PDF,从业人员;人员管理;职业规范,https://www.amac.org.cn/xwfb/xhyw/202311/t20231124_24119.html; https://www.amac.org.cn/xwfb/xhyw/202311/P020231126420114603815.pdf,01_法规原文库\07_数据报送与人员管理\041_基金从业人员管理规则\041_基金从业人员管理规则_01_发布页.html; 01_法规原文库\07_数据报送与人员管理\041_基金从业人员管理规则\041_基金从业人员管理规则_02_附件PDF.pdf,02_文本抽取库\07_数据报送与人员管理\041_基金从业人员管理规则\041_基金从业人员管理规则_01_发布页.txt; 02_文本抽取库\07_数据报送与人员管理\041_基金从业人员管理规则\041_基金从业人员管理规则_02_附件PDF.txt,html; pdf,2,续跑时复用已下载文件,
042,P0,07_数据报送与人员管理,关于实施《基金从业人员管理规则》有关事项的规定,配套规则,中国证券投资基金业协会,,2023-11-24,,现行有效,是,发布页;附件PDF,从业人员;实施安排;人员管理,https://www.amac.org.cn/xwfb/xhyw/202311/t20231124_24119.html; https://www.amac.org.cn/xwfb/xhyw/202311/P020231126420116567190.pdf,01_法规原文库\07_数据报送与人员管理\042_关于实施《基金从业人员管理规则》有关事项的规定\042_关于实施《基金从业人员管理规则》有关事项的规定_01_发布页.html; 01_法规原文库\07_数据报送与人员管理\042_关于实施《基金从业人员管理规则》有关事项的规定\042_关于实施《基金从业人员管理规则》有关事项的规定_02_附件PDF.pdf,02_文本抽取库\07_数据报送与人员管理\042_关于实施《基金从业人员管理规则》有关事项的规定\042_关于实施《基金从业人员管理规则》有关事项的规定_01_发布页.txt; 02_文本抽取库\07_数据报送与人员管理\042_关于实施《基金从业人员管理规则》有关事项的规定\042_关于实施《基金从业人员管理规则》有关事项的规定_02_附件PDF.txt,html; pdf,2,续跑时复用已下载文件,
043,P2,07_数据报送与人员管理,资产管理业务综合报送平台 / 公募用户 / 数据备份等配套通知,系统通知规则组,中国证券投资基金业协会,,,,辅助索引,否,操作手册入口,报送平台;数据备份;系统规则,https://www.amac.org.cn/fwdt/wyb/sjbs/zcglywsjbs/czsc/,01_法规原文库\07_数据报送与人员管理\043_资产管理业务综合报送平台_公募用户_数据备份等配套通知\043_资产管理业务综合报送平台_公募用户_数据备份等配套通知_01_操作手册入口.html,02_文本抽取库\07_数据报送与人员管理\043_资产管理业务综合报送平台_公募用户_数据备份等配套通知\043_资产管理业务综合报送平台_公募用户_数据备份等配套通知_01_操作手册入口.txt,html,1,已定位AMAC资产管理业务数据报送操作手册入口；作为系统操作资料，不作为强制性法规正文。; 续跑时复用已下载文件,
044,P2,08_交易所与登记结算基础设施规则,中国结算——基金登记结算、清算交收、账户业务规则,基础设施规则组,中国结算,,,,已扩展,否,规则组索引,登记结算;清算交收;账户;ETF;LOF;港股通,,,,,0,已拆分为044A-044B等中国结算基金登记结算规则；规则组占位不再保留官网入口或软件下载页为原文。,
045,P2,08_交易所与登记结算基础设施规则,上海证券交易所——基金业务规则,基础设施规则组,上海证券交易所,,,,已扩展,否,规则组索引,ETF;基金上市;REITs;申购赎回,,,,,0,已补入上交所ETF及REITs重点规则；规则组占位不再保留官网入口或新闻发布会附件为原文。,
046,P2,08_交易所与登记结算基础设施规则,深圳证券交易所——基金业务规则,基础设施规则组,深圳证券交易所,,,,已扩展,否,规则组索引,ETF;LOF;REITs;申购赎回,,,,,0,已补入深交所基金交易申赎及ETF风险管理规则；规则组占位不再保留官网入口为原文。,
047,P2,08_交易所与登记结算基础设施规则,银行间市场——债券、回购、同业存单、结算规则,基础设施规则组,CFETS、中债登、上清所,,,,已扩展,否,规则组索引,银行间债券;回购;同业存单;结算,,,,,0,已补入人民银行、CFETS/中债登/上清所等银行间债券登记托管结算与交易规则；规则组占位不再保留官网入口或首页随机附件为原文。,
048,P2,08_交易所与登记结算基础设施规则,港股通 / 互联互通结算规则,基础设施规则组,沪深交易所、中国结算、香港交易所,,,,已扩展,否,规则组索引,港股通;互联互通;结算,,,,,0,已补入证监会互联互通指引、沪深交易所业务办法和中国结算登记存管结算细则。,
049,P2,09_跨境与港股通_QDII_REITs_专项,QDII / 境外托管相关规则组,专项规则组,证监会、外汇局、人民银行,,,,已扩展,否,规则组索引,QDII;境外托管;外汇;跨境结算,,,,,0,已补入QDII外汇管理规定；境外托管操作层面以后续业务问题继续扩展。,
050,P2,09_跨境与港股通_QDII_REITs_专项,公募 REITs 托管相关规则组,专项规则组,证监会、沪深交易所、中国结算,,,,已扩展,否,规则组索引,公募REITs;托管;信披;运营,,,,,0,已补入沪深交易所和中国结算公募REITs配套规则。,
051,P2,09_跨境与港股通_QDII_REITs_专项,场外衍生品、信用保护工具、收益互换等估值/结算规则组,专项规则组,证监会、AMAC、交易所、银行间市场,,,,已扩展,否,规则组索引,信用衍生品;场外衍生品;估值;结算,,,,,0,已补入公募基金信用衍生品投资指引和银行间CRM规则；其他场外衍生品如收益互换不作为公募基金托管主线正式依据。,
052,P3,10_合同格式与辅助资料,基金合同、托管协议、招募说明书、产品资料概要的格式指引或范本,格式指引规则组,证监会、AMAC、交易所,,,,已扩展,否,规则组索引,基金合同;托管协议;招募说明书;产品资料概要,,,,,0,已补入招募说明书、基金合同内容与格式准则及基金募集申请服务指南；未定位到单独的公募基金托管协议强制范本。,
053,P1,10_合同格式与辅助资料,公开募集证券投资基金信息披露XBRL模板第1-5号,行业自律规则,中国证券投资基金业协会,中基协发〔2026〕6号,2026-03-13,2026-05-01,现行有效,是,AMAC公告页;附件PDF,XBRL;季度报告;净值公告;年度报告;中期报告;临时公告;产品资料概要;REITs;电子披露,https://www.amac.org.cn/xwfb/xhyw/202603/t20260313_27409.html; https://www.amac.org.cn/xwfb/xhyw/202603/P020260508338766981977.pdf; https://www.amac.org.cn/xwfb/xhyw/202603/P020260508338767050996.pdf; https://www.amac.org.cn/xwfb/xhyw/202603/P020260508338767095094.pdf; https://www.amac.org.cn/xwfb/xhyw/202603/P020260508338767123695.pdf; https://www.amac.org.cn/xwfb/xhyw/202603/P020260508338767174842.pdf; https://www.amac.org.cn/xwfb/xhyw/202603/P020260508338767235908.pdf; https://www.amac.org.cn/xwfb/xhyw/202603/P020260508338767275143.pdf,01_法规原文库\10_合同格式与辅助资料\053_公开募集证券投资基金信息披露XBRL模板第1-5号\053_公开募集证券投资基金信息披露XBRL模板第1-5号_01_AMAC公告页.html; 01_法规原文库\10_合同格式与辅助资料\053_公开募集证券投资基金信息披露XBRL模板第1-5号\053_公开募集证券投资基金信息披露XBRL模板第1-5号_02_附件1-1季度报告PDF.pdf; 01_法规原文库\10_合同格式与辅助资料\053_公开募集证券投资基金信息披露XBRL模板第1-5号\053_公开募集证券投资基金信息披露XBRL模板第1-5号_03_附件1-2季度报告REITs部分PDF.pdf; 01_法规原文库\10_合同格式与辅助资料\053_公开募集证券投资基金信息披露XBRL模板第1-5号\053_公开募集证券投资基金信息披露XBRL模板第1-5号_04_附件2净值公告PDF.pdf; 01_法规原文库\10_合同格式与辅助资料\053_公开募集证券投资基金信息披露XBRL模板第1-5号\053_公开募集证券投资基金信息披露XBRL模板第1-5号_05_附件3-1年度报告和中期报告PDF.pdf; 01_法规原文库\10_合同格式与辅助资料\053_公开募集证券投资基金信息披露XBRL模板第1-5号\053_公开募集证券投资基金信息披露XBRL模板第1-5号_06_附件3-2年度报告和中期报告REITs部分PDF.pdf; 01_法规原文库\10_合同格式与辅助资料\053_公开募集证券投资基金信息披露XBRL模板第1-5号\053_公开募集证券投资基金信息披露XBRL模板第1-5号_07_附件4基金合同生效公告及临时公告PDF.pdf; 01_法规原文库\10_合同格式与辅助资料\053_公开募集证券投资基金信息披露XBRL模板第1-5号\053_公开募集证券投资基金信息披露XBRL模板第1-5号_08_附件5基金产品资料概要PDF.pdf,02_文本抽取库\10_合同格式与辅助资料\053_公开募集证券投资基金信息披露XBRL模板第1-5号\053_公开募集证券投资基金信息披露XBRL模板第1-5号_01_AMAC公告页.txt; 02_文本抽取库\10_合同格式与辅助资料\053_公开募集证券投资基金信息披露XBRL模板第1-5号\053_公开募集证券投资基金信息披露XBRL模板第1-5号_02_附件1-1季度报告PDF.txt; 02_文本抽取库\10_合同格式与辅助资料\053_公开募集证券投资基金信息披露XBRL模板第1-5号\053_公开募集证券投资基金信息披露XBRL模板第1-5号_03_附件1-2季度报告REITs部分PDF.txt; 02_文本抽取库\10_合同格式与辅助资料\053_公开募集证券投资基金信息披露XBRL模板第1-5号\053_公开募集证券投资基金信息披露XBRL模板第1-5号_04_附件2净值公告PDF.txt; 02_文本抽取库\10_合同格式与辅助资料\053_公开募集证券投资基金信息披露XBRL模板第1-5号\053_公开募集证券投资基金信息披露XBRL模板第1-5号_05_附件3-1年度报告和中期报告PDF.txt; 02_文本抽取库\10_合同格式与辅助资料\053_公开募集证券投资基金信息披露XBRL模板第1-5号\053_公开募集证券投资基金信息披露XBRL模板第1-5号_06_附件3-2年度报告和中期报告REITs部分PDF.txt; 02_文本抽取库\10_合同格式与辅助资料\053_公开募集证券投资基金信息披露XBRL模板第1-5号\053_公开募集证券投资基金信息披露XBRL模板第1-5号_07_附件4基金合同生效公告及临时公告PDF.txt; 02_文本抽取库\10_合同格式与辅助资料\053_公开募集证券投资基金信息披露XBRL模板第1-5号\053_公开募集证券投资基金信息披露XBRL模板第1-5号_08_附件5基金产品资料概要PDF.txt,html; pdf,8,配合证监会公告〔2026〕5号定期报告准则实施，自2026-05-01起施行；旧XBRL模板第1-5号已由证监会公告〔2026〕5号废止。; 续跑时复用已下载文件,
054,P3,10_合同格式与辅助资料,中国证券投资基金电子披露网站相关规则,披露通道规则组,证监会、基金电子披露平台,,,,已扩展,否,规则组索引,电子披露;公告披露;披露通道,,,,,0,已补入公募基金信息披露电子化规范；基金电子披露网站本身作为披露渠道，不单列为强制性规则正文。,
027A,P1,05_银行业监管与行业自律,商业银行内部控制指引,银行业监管规范性文件,原中国银监会,银监发〔2014〕40号,2014-09-12,2014-09-12,现行有效,是,国务院公报正文页,商业银行内控;托管业务内控;职责分离;风险管理;内部审计,https://www.gov.cn/gongbao/content/2015/content_2821645.htm,01_法规原文库\05_银行业监管与行业自律\027A_商业银行内部控制指引\027A_商业银行内部控制指引_01_国务院公报正文页.html,02_文本抽取库\05_银行业监管与行业自律\027A_商业银行内部控制指引\027A_商业银行内部控制指引_01_国务院公报正文页.txt,html,1,商业银行托管业务内控体系的通用监管底座。; 续跑时复用已下载文件,
027B,P2,05_银行业监管与行业自律,商业银行信息科技风险管理指引,银行业监管规范性文件,原中国银监会,银监发〔2009〕19号,2009-03-03,2009-03-03,现行有效,否,地方政府官方转载;继续有效目录,信息科技风险;系统安全;业务连续性;访问控制;托管运营系统,https://fgw.sh.gov.cn/ys-hqjrfw-1.3.1.2/20240820/259eee9aff3e423e8b2d8a8613308189.html; https://www.nfra.gov.cn/chinese/files/2018/AB54BE9578F54F52872737F60D80CF5B.pdf,01_法规原文库\05_银行业监管与行业自律\027B_商业银行信息科技风险管理指引\027B_商业银行信息科技风险管理指引_01_地方政府官方转载.html; 01_法规原文库\05_银行业监管与行业自律\027B_商业银行信息科技风险管理指引\027B_商业银行信息科技风险管理指引_02_继续有效目录PDF.pdf,02_文本抽取库\05_银行业监管与行业自律\027B_商业银行信息科技风险管理指引\027B_商业银行信息科技风险管理指引_01_地方政府官方转载.txt; 02_文本抽取库\05_银行业监管与行业自律\027B_商业银行信息科技风险管理指引\027B_商业银行信息科技风险管理指引_02_继续有效目录PDF.txt,html; pdf,2,未定位到金融监管总局独立正文页；以地方政府官方转载正文并结合银监会继续有效文件目录留存，使用时宜再次核验现行性。; 续跑时复用已下载文件,
027C,P1,05_银行业监管与行业自律,银行业金融机构数据治理指引,银行业监管规范性文件,原中国银保监会,银保监发〔2018〕22号,2018-05-21,2018-05-21,现行有效,否,监管官网正文页,数据治理;数据质量;监管报送;托管数据;个人信息,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=179901,01_法规原文库\05_银行业监管与行业自律\027C_银行业金融机构数据治理指引\027C_银行业金融机构数据治理指引_01_监管官网正文页.html,02_文本抽取库\05_银行业监管与行业自律\027C_银行业金融机构数据治理指引\027C_银行业金融机构数据治理指引_01_监管官网正文页.txt,html,1,续跑时复用已下载文件,
